path,filename,modified,size,sha256,root
.,.gitignore,2020-07-25 05:42:11.124448,0.11KB,16bee885c61dffc3d7c0d61302c8d13c0b9136eb36f568a85be65f7d88de52e1,tikatree
.,dev_requirements.txt,2020-03-08 14:06:02.619406,0.15KB,2efc79ea18c8120c9cb565ceefd6a0355a48d8c0a2608ff1d0e5439f46b7d462,tikatree
.,LICENSE,2020-03-06 22:51:24.984411,1.04KB,d4ab1739a96f9f381153e2a7436d78c65469065cad6e7bf166815a5890b296da,tikatree
.,pyproject.toml,2020-03-08 14:26:19.945357,0.35KB,b391ff6f55079812c45979c28a53fbe46e6855b731abe63ab56df81e02f59002,tikatree
.,README.md,2020-07-26 05:43:13.592256,2.69KB,df9de66cfe37d3e1834e18d5a16bafa77ec1459c9771df4b5e337b9c7fec7d2b,tikatree
.,requirements.txt,2020-04-10 04:43:47.002540,0.01KB,819468c89003fb5a922bc696398ba46a707be7416a2a3632f215baa2a37330eb,tikatree
.,setup.cfg,2020-03-08 14:25:16.918612,0.35KB,3a328de9097dfb40355dd7dab47ac926aa18bfa63e091d06dacd111f9960118f,tikatree
.,setup.py,2020-07-24 23:58:09.823096,0.94KB,c1e8f645aa94bf2859c6e91c7700a2c93303a9d04ea5c36d8f60c10bfa81008b,tikatree
tikatree,tikatree.py,2020-07-26 05:42:12.124221,13.27KB,13a96980342cd7deebba290c00e4c1f1bb7058b3adafb9a7a537a5abc176b21e,tikatree
tikatree,__init__.py,2020-03-07 02:30:04.445739,0.0KB,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,tikatree
